,Address,Price per month €,Capacity,Link
2964,"Mount Ambrose, Toberburr",2500.0,"4 bedrooms (1 single, 3 double), 3 bathrooms house",https://www.let.ie/property-to-rent/Mount-Ambrose-Toberburr/5227766
430,"Banner House, Rathcoole, Co. Dublin",2500.0,"4 bedrooms (4 double), 2 bathrooms, furnished or unfurnished",https://www.rent.ie/houses-to-let/Banner-House-Rathcoole-Co-Dublin/5431375/
2963,"pakenham house, spencer dock, North Wall, Dublin 1, Co. Dublin",2500.0,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/pakenham-house-spencer-dock-North-Wall-Dublin-1-Co-Dublin/5228667
2483,"Crotty Avenue, Walkinstown",2500.0,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished house",https://www.let.ie/property-to-rent/Crotty-Avenue-Walkinstown/5456505
724,"Hanover Riverside, Grand Canal Dock, Dublin 2",2500.0,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Hanover-Riverside-Grand-Canal-Dock-Dublin-2/5365955/
2028,"2 Bed, Knockrabo, Mount Anville Road, Goatstown, Dublin 14",2500.0,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/2-Bed-Knockrabo-Mount-Anville-Road-Goatstown-Dublin-14/3103566/
3708,"Hanover Riverside, Grand Canal Dk, Dublin 2",2500.0,"2 beds, 2 baths, 80m 2, , Apartment",https://www.myhome.ie/rentals/brochure/hanover-riverside-grand-canal-dk-dublin-2/4510549
2666,"20 Mount Argus Park, Harold\'s Cross",2500.0,"3 bedrooms (3 double), 1 bathroom, furnished house",https://www.let.ie/short-term-rental/20-Mount-Argus-Park-Harolds-Cross/5393204
6225,"17 Lansdowne Crescent, Lansdowne Park, Ballsbridge, Dublin 4",2500.0,"2 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-17-lansdowne-crescent-lansdowne-park-ballsbridge-dublin-4/3187182
6207,"48 Seapoint Avenue Blackrock Co Dublin, Monkstown, Co. Dublin",2500.0,"3 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-48-seapoint-avenue-blackrock-co-dublin-monkstown-co-dublin/3427090
6224,"Apartment 17, Booterstown Wood, Booterstown Avenue, Booterstown, Co. Dublin",2500.0,"2 Bed, 2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apartment-17-booterstown-wood-booterstown-avenue-booterstown-co-dublin/3427521
1936,"98 Old County Rd. Crumlin, Crumlin, Dublin 12",2500.0,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/98-Old-County-Rd-Crumlin-Crumlin-Dublin-12/3782020/
6208,"6a Sycamore Green, The Park, Cabinteely, Dublin 18",2500.0,"3 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-6a-sycamore-green-the-park-cabinteely-dublin-18/3268288
6209,"banner house, Rathcoole, Co. Dublin",2500.0,"4 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-banner-house-rathcoole-co-dublin/3430666
6210,"Finsbury House, 79/81 Pembroke Road, Dublin 4",2500.0,"2 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-finsbury-house-79-81-pembroke-road-dublin-4/2564371
2824,"26 Lourdes Road, Dublin 8, Co. Dublin",2500.0,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished house",https://www.let.ie/property-to-rent/26-Lourdes-Road-Dublin-8-Co-Dublin/5180826
6202,"Belgrove Park, Mount Prospect Lawns, Clontarf, Dublin 3",2500.0,"3 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-belgrove-park-mount-prospect-lawns-clontarf-dublin-3/3436163
1948,"2 Bed Apartment, Sanderling, Thornwood, Booterstown, Co. Dublin",2500.0,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/2-Bed-Apartment-Sanderling-Thornwood-Booterstown-Co-Dublin/3608891/
3522,"Two Bedroom Apartment, Sandford Lodge , Sandford Lodge, Ranelagh, Dublin 6, Co. Dublin",2500.0,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Two-Bedroom-Apartment-Sandford-Lodge--Sandford-Lodge-Ranelagh-Dublin-6-Co-Dublin/2041883
6221,"Mount Ambrose, Toberburr, St Margaret's, Co. Dublin",2500.0,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-mount-ambrose-toberburr-st-margarets-co-dublin/3284915
3347,"2 Bedroom Apartment, O'Callaghan Court, Erne Street Upper, Dublin 2, Co. Dublin",2500.0,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/2-Bedroom-Apartment-OCallaghan-Court-Erne-Street-Upper-Dublin-2-Co-Dublin/3895143
6212,"Healyâ€™s Lane, Rush, Co. Dublin",2500.0,"3 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-healy-s-lane-rush-co-dublin/3274635
627,"20 Mount Argus Park, Harold\'s Cross, Harold's Cross, Dublin 6",2500.0,"3 bedrooms (3 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/20-Mount-Argus-Park-Harolds-Cross-Harolds-Cross-Dublin-6/5393204/
6213,"2 Bed Apartment, Sanderling, Thornwood, Booterstown, Co. Dublin",2500.0,"2 Bed, 2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-2-bed-apartment-sanderling-thornwood-booterstown-co-dublin/2884782
6214,"Custom Hall, Dublin 1",2500.0,"3 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-custom-hall-dublin-1/3436572
6215,"33 Bloomfield park, Bloomfield avenue, Donnybrook, Dublin 4",2500.0,"2 Bed, 2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-33-bloomfield-park-bloomfield-avenue-donnybrook-dublin-4/3267075
471,"Parklands Avenue, Firhouse, Ballycullen, Dublin 16",2500.0,"4 bedrooms (2 single, 2 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Parklands-Avenue-Firhouse-Ballycullen-Dublin-16/5426126/
6216,"38 Haddington Road, Dublin 4",2500.0,"2 Bed, 2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-38-haddington-road-dublin-4/3261843
6220,"13 Arran Quay Terrace, Dublin 7",2500.0,"3 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-13-arran-quay-terrace-dublin-7/3424266
6217,"Iveragh Road, Whitehall, Dublin 9",2500.0,"3 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-iveragh-road-whitehall-dublin-9/3262869
6211,"Crotty Avenue, Walkinstown, Dublin 12",2500.0,"3 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-crotty-avenue-walkinstown-dublin-12/3433408
